"team_name","team_number","affiliation","award_group","judging_group","tournament"
"Animatronics","352","Hastings Middle School","Woods","Woods","12/13/15 - Rochester"
"HMSTeam2","405","Hastings Middle School","Woods","Woods","12/13/15 - Rochester"
"HMSTeam3","407","Hastings Middle School","Woods","Woods","12/13/15 - Rochester"
"HMSTeam4","408","Hastings Middle School","Woods","Woods","12/13/15 - Rochester"
"Sonic Blast","1154","Home School","Lakes","Lakes","12/13/15 - Rochester"
"RMS Imagineers","3135","Rochester Montessori School","Woods","Woods","12/13/15 - Rochester"
"Dominators","3698","Alden-Conger","Woods","Woods","12/13/15 - Rochester"
"Tech Monkeys","3811","Friends","Lakes","Lakes","12/13/15 - Rochester"
"LCS 1","4916","Lake Country School","Woods","Woods","12/13/15 - Rochester"
"LCS 2","4918","Lake Country School","Woods","Woods","12/13/15 - Rochester"
"CruciTech","5280","Crucifixion School","Woods","Woods","12/13/15 - Rochester"
"Guardians Of Garbage","7391","Mankato Community Ed","Lakes","Lakes","12/13/15 - Rochester"
"LEGO Cyclone","7393","Mankato Community Ed","Lakes","Lakes","12/13/15 - Rochester"
"Mysterious George","7684","Arik's group","Lakes","Lakes","12/13/15 - Rochester"
"Botoneers","8330","Lakeville Area Learning Center","Woods","Woods","12/13/15 - Rochester"
"Cyber Cats","9975","Cyber Village Academy","Woods","Woods","12/13/15 - Rochester"
"Houston LEGO Windstorm","10484","Houston Community Ed","Lakes","Lakes","12/13/15 - Rochester"
"Houston LEGO Hurricanes","10486","Houston Community Ed","Lakes","Lakes","12/13/15 - Rochester"
"Hiawatha Lake Country #2","10719","Hiawatha College Prep & Lake Country School","Woods","Woods","12/13/15 - Rochester"
"Hiawatha Lake Country #3","10721","Hiawatha College Prep & Lake Country School","Lakes","Lakes","12/13/15 - Rochester"
"Trash Talkers","11221","La Crescent Middle school","Lakes","Lakes","12/13/15 - Rochester"
"The LEGO Stingers","11228","La Crescent Middle school","Lakes","Lakes","12/13/15 - Rochester"
"Perfect Programmers","11229","La Crescent Middle school","Woods","Woods","12/13/15 - Rochester"
"Hiawatha/ Lake Country","12911","Hiawatha College Prep & Lake Country School","Woods","Woods","12/13/15 - Rochester"
"RMS Squared","14446","Rochester Montessori School","Woods","Woods","12/13/15 - Rochester"
"LEGO Bricks Catching Fire","16627","Neighborhood","Lakes","Lakes","12/13/15 - Rochester"
"Star Bots","17521","Family Friends","Lakes","Lakes","12/13/15 - Rochester"
"Robot Girls","18420","Family/Friends","Lakes","Lakes","12/13/15 - Rochester"
"Burroughs LEGO Team 1","19689","Burroughs Community School","Lakes","Lakes","12/13/15 - Rochester"
"Burroughs LEGO Team 2","20806","Burroughs Community School","Woods","Woods","12/13/15 - Rochester"
"Rockin Robots","21169","La Crescent Middle school","Lakes","Lakes","12/13/15 - Rochester"
"Mindstorms Masters","21940","Burroughs Community School","Lakes","Lakes","12/13/15 - Rochester"
